_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
{'$oid': '5ff5d1d60a7214ada10005f5'},150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609945558000},{'$date': 1609945558000},{'$date': 1609945558000},{'$date': 1609945558000},{'$date': 1609945558000},200.0,{'$date': 1609859158000},1.0,FINISHED,10.0,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1940a7214ada10005e9'},5.0,All-receipts receipt bonus,{'$date': 1609945492000},{'$date': 1609945492000},{'$date': 1609945496000},{'$date': 1609945496000},{'$date': 1609945496000},5.0,{'$date': 1608822292000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '5ff5d2030a720f05230005df'},25.0,COMPLETE_NONPARTNER_RECEIPT,{'$date': 1609945603000},{'$date': 1609945603000},{'$date': 1609945603000},{'$date': 1609945603000},{'$date': 1609945603000},25.0,{'$date': 1609945603000},1.0,FINISHED,9.99,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d1a10a7214ada10005ee'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1609945505000},{'$date': 1609945505000},{'$date': 1609945506000},{'$date': 1609945506000},{'$date': 1609945506000},50.0,{'$date': 1609859105000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '5ff5d19c0a7214ada10005eb'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609945500000},{'$date': 1609945500000},{'$date': 1609945500000},{'$date': 1609945500000},{'$date': 1609945500000},750.0,{'$date': 1609859100000},1.0,FINISHED,1.0,5ff5d19b8f142f11dd188696
{'$oid': '5ff5d1cb0a7214ada10005f0'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609945547000},{'$date': 1609945547000},{'$date': 1609945548000},{'$date': 1609945548000},{'$date': 1609945548000},750.0,{'$date': 1609480800000},5.0,FINISHED,49.95,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff5d20b0a720f05230005e2'},5.0,All-receipts receipt bonus,{'$date': 1609945611000},{'$date': 1609945611000},{'$date': 1609945611000},{'$date': 1609945611000},{'$date': 1609945611000},5.0,{'$date': 1609945611000},1.0,FINISHED,9.99,5ff5d15aeb7c7d12096d91a2
{'$oid': '5ff73be50a720f0523000608'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610038245000},{'$date': 1610038245000},{'$date': 1610038245000},{'$date': 1610038250000},{'$date': 1610038245000},750.0,{'$date': 1609977600000},6.0,FINISHED,29.0,5ff73be5eb7c7d31ca8a45a7
{'$oid': '5ff7946f0a720f052300063c'},250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609866511000},{'$date': 1609866511000},{'$date': 1610039315000},{'$date': 1610060917000},{'$date': 1610039315000},3250.0,{'$date': 1609848000000},3.0,FINISHED,23.0,5ff79464b3348b11c933738b
{'$oid': '5ff726910a720f05230005f1'},100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610032785000},{'$date': 1610032785000},{'$date': 1610032785000},{'$date': 1610032790000},{'$date': 1610032785000},100.0,{'$date': 1609977600000},4.0,FINISHED,25.0,5ff7268eeb7c7d12096da2a9
